;coeditor1;coeditor2;count
361;Leduc;Pépin;2
2514;Reynaud;Thomas;2
1089;Boillet;Rideau;2
152;Popkin;Ricuperati;2
45;Lautel;Rivara;2
43;Cointre;Lautel;2
42;Bertaud;Moureau;2
41;Moureau;Seth;2
40;Bertaud;Seth;2
149;Méchoulan;Popkin;2
150;Méchoulan;Ricuperati;2
151;Méchoulan;Simonutti;2
1523;de QueirosMattoso;dos Santos;2
1524;Rolland;de QueirosMattoso;2
153;Popkin;Simonutti;2
2023;Gallichan;Lamonde;2
804;Cossic-Péricarpin;Kerhervé;2
1525;Rolland;dos Santos;2
849;Berchtold;Fragonard;2
847;Berchtold;Sermain;2
115;Godlewicz-Adamiec;Krawczyk;2
154;Ricuperati;Simonutti;2
845;Berchtold;Ladurie;2
1492;Maira;Roulin;2
31;Kölving;Passeron;2
30;Cohen;Dever;2
70;Magnot;Salaün;2
69;Duflo;Salaün;2
28;Pelckmans;lacollaborationde KrisPeeters;2
792;Belleguic;der Schueren;2
117;Godlewicz-Adamiec;Piszczatowski;2
118;Godlewicz-Adamiec;Sokołowicz;2
119;Krawczyk;Łuczyńska-Hołdys;2
120;Krawczyk;Piszczatowski;2
121;Krawczyk;Sokołowicz;2
122;Piszczatowski;Łuczyńska-Hołdys;2
123;Sokołowicz;Łuczyńska-Hołdys;2
124;Piszczatowski;Sokołowicz;2
62;Mervaud;Seillan;2
859;Démoris;Martin;2
793;Belleguic;Vervacke;2
1503;Montalbetti;Neefs;2
794;Vervacke;der Schueren;2
795;Philip;Reboul;2
858;Berchtold;Démoris;2
856;Bonnecase;Genton;2
904;Loir;Turcot;2
1386;Desné;Piau-Gillot;2
1387;L’Aminot;Piau-Gillot;2
2080;Grenouillet;Reverzy;2
1388;Desné;L’Aminot;2
68;Duflo;Magnot;2
761;Capdeville;Kerhervé;2
846;Ladurie;Sermain;2
26;Herman;lacollaborationde KrisPeeters;2
718;Chedeville;Jollet;2
83;Mazouer;Quéro;2
1593;Brophy;Gaffney;2
175;Bisset;Felton;2
1462;Hellegouarc’h;Williams;2
176;Bisset;Wolfe;2
98;Salaün;Schandeler;2
177;Felton;Wolfe;2
1594;Gaffney;Gallagher;2
179;Barbafieri;Rauseo;2
875;Richard-Pauchet;de Buzon;2
1595;Brophy;Gallagher;2
837;Leborgne;Sermain;2
926;Cerman;Reynolds;2
927;Cerman;Lucci;2
928;Lucci;Reynolds;2
1539;Externbrink;Levillain;2
1337;Carr;Jr.;2
92;Ramos;Tonda;2
710;Seth;von Kulessa;2
1405;Tribout;Wheland;2
1535;Dunne;Pierse;2
101;Dutray-Lecoin;Muzerelle;2
116;Godlewicz-Adamiec;Łuczyńska-Hołdys;2
722;Brooks;Zaiser;2
871;Burnand;Genand;2
1459;Melançon;Popovic;2
161;Biard;Serna;2
16;Démoris;Lafon;2
721;Caldicott;Fuchs;2
20;Delon;Schlobach;2
816;Germani;Swales;2
1397;Maher;Neville;2
2030;Dion;Massé;2
22;Braun;McCarthy;2
720;Jollet;Sourdin;2
1;Watelet;lacollaborationde CorneliusJ.Jaenen;2
719;Chedeville;Sourdin;2
886;Kroll;Zimmermann;2
1871;Hausmann;Reichmann;1
2011;Denis;Quiviger;1
2005;Choinière;Przychodzen;1
1873;Hausmann;Zgusta;1
2017;Baudouin;Bolton;1
2010;Alland;Rials;1
1857;Waldinger;Woloch;1
1858;Dawson;Woloch;1
1872;Hausmann;Wiegand;1
2008;Brissette;Lafrance;1
1868;Canziani;Paganini;1
2013;Denis;Salem;1
1859;Roux;Wrede;1
1870;McKenna;Mothu;1
2016;Minard;Orain;1
1866;Gavaille;Nadjo;1
2015;Klotz;Orain;1
1860;Broad;Detlefsen;1
1869;Paganini;lacollaborationde MarialuisaBaldi;1
2014;Klotz;Minard;1
1863;Chamarat;Siess;1
2007;Brissette;Choinière;1
2009;Choinière;Lafrance;1
1864;Chamarat;Diaz;1
1865;Lavialle;Puech;1
1867;Canziani;lacollaborationde MarialuisaBaldi;1
2012;Quiviger;Salem;1
