;coeditor1;coeditor2;count
397;Paschoud_Adrien;Pelckmans_Paul;3
398;Paschoud_Adrien;Rosset_François;3
1473;Medlin_Dorothy;Merrick_Jeffrey;3
337;Pépin_François;Rioux-Beaulne_Mitia;3
336;Pépin_François;Rey_Anne-Lise;3
951;Carré_Anne-Laure;Reid_Martine;3
334;Leduc_Christian;Rey_Anne-Lise;3
333;Leduc_Christian;Pépin_François;3
945;Méricam-Bourdet_Myrtille;Volpilhac-Auger_Catherine;3
1789;Lucioli_Francesco;Sanson_Helena;3
2932;Daumalin_Xavier;Raveux_Olivier;3
1846;Jeannelle_Jean-Louis;Lejeune_Philippe;3
1847;Jeannelle_Jean-Louis;Montémont_Véronique;3
1848;Lejeune_Philippe;Montémont_Véronique;3
1861;Hammond_Nicholas;Moriarty_Michael;3
295;Cicchini_Marco;Porret_Michel;3
939;Clément_Gisèle;Thoraval_Fañch;3
5181;Caudal_Yann;Masson_Nicole;3
290;Dagen_Jean;Roger_Philippe;3
938;Bisaro_Xavier;Thoraval_Fañch;3
273;Adrien_Muriel;Percival_Melissa;3
270;Chantal_Thomas;Mercier_Anne-Marie;3
338;Rey_Anne-Lise;Rioux-Beaulne_Mitia;3
341;Castioni_Barbara Selmeci;Paschoud_Adrien;3
342;Couto_Dejanirah;Lachaud_François;3
376;Burrows_Simon;Roe_Glenn;3
396;Herman_Jan;Paschoud_Adrien;3
914;Desjardins_Lucie;Turbide_Chantal;3
385;Antoine_François;Leuwers_Hervé;3
382;Mollier_Jean-Yves;Sorel_Patricia;3
381;Mix_York-Gothart;Sorel_Patricia;3
379;Lüsebrink_Hans-Jürgen;Sorel_Patricia;3
5290;Montémont_Véronique;Simonet-Tenant_Françoise;3
361;Chiron_Jeanne;Seth_Catriona;3
355;Deneys-Tunney_Anne;Seth_Catriona;3
354;Cussac_Hélène;Seth_Catriona;3
1468;Cormier_Jacques;Herman_Jan;3
1471;Delon_Michel;Seth_Catriona;3
799;Leborgne_Érik;Sermain_Jean-Paul;3
697;Berchtold_Jacques;Séité_Yannick;3
807;Berchtold_Jacques;Ladurie_Emmanuel Le Roy;3
808;Ladurie_Emmanuel Le Roy;Sermain_Jean-Paul;3
1071;Delumeau_Jean;Roche_Daniel;3
661;Genand_Stéphanie;Lotterie_Florence;3
659;Bercegol_Fabienne;Genand_Stéphanie;3
842;Ducimetière_N.;Imperiali_C.;3
771;Bourquin_Laurent;Hugon_Alain;3
714;Minard_Philippe;Porret_Michel;3
713;Milliot_Vincent;Porret_Michel;3
641;Delia_Luigi;Garnot_Benoît;3
640;Campagna_Norbert;Garnot_Benoît;3
820;Berchtold_Jacques;Démoris_René;3
821;Démoris_René;Martin_Christophe;3
839;Berchtold_J.;Hazan_P.;3
840;Berchtold_J.;Imperiali_C.;3
841;Ducimetière_N.;Hazan_P.;3
581;Barbier_Frédéric;Parent-Charon_Annie;3
582;Barbier_Frédéric;Desroussilles_François Dupuigrenet;3
1298;Larrère_Catherine;Volpilhac-Auger_Catherine;3
583;Barbier_Frédéric;Jolly_Claude;3
589;Jolly_Claude;Varry_Dominique;3
588;Desroussilles_François Dupuigrenet;Varry_Dominique;3
586;Parent-Charon_Annie;Varry_Dominique;3
937;Bisaro_Xavier;Clément_Gisèle;3
62;Magnot_Florence;Salaün_Franck;3
36;Moureau_François;Seth_Catriona;3
35;Bertaud_Madeleine;Seth_Catriona;3
61;Duflo_Colas;Salaün_Franck;3
60;Duflo_Colas;Magnot_Florence;3
2034;Lüsebrink_Hans-Jürgen;Reichardt_Rolf;3
2306;Fournier_Jean-Marie;Raby_Valérie;3
2040;Chartier_Roger;Lüsebrink_Hans-Jürgen;3
4555;Lequan_Mai;Ruffing_Margit;3
202;Doig_Kathleen Hardesty;Medlin_Dorothy;3
2090;Bernier_Marc André;Donato_Clorinda;3
2091;Bernier_Marc André;Lüsebrink_Hans-Jürgen;3
2475;Ducange_Jean-Numa;Frétigné_Jean-Yves;3
2474;Biard_Michel;Frétigné_Jean-Yves;3
75;Mazouer_Charles;Quéro_Dominique;3
5919;Seth_Catriona;Von Kulessa_Rotraud;3
1212;Mortier_Roland;Trousson_Raymond;2
1189;Brouard-Arends_Isabelle;Plagnol-Diéval_Marie-Emmanuelle;2
1148;Douay_Françoise;Sermain_Jean-Paul;2
1152;Cerutti_Mauro;Porret_Michel;2
1151;Cerutti_Mauro;Fayet_Jean-François;2
2584;Beaurepaire_Pierre-Yves;Bourdin_Philippe;2
2586;Bourdin_Philippe;Wolff_Charlotta;2
1185;Berchtold_Jacques;Vasak_Anouchka;2
1187;Sermain_Jean-Paul;Vasak_Anouchka;2
1294;Dagen_Jean;Rueff_Martin;2
1289;Paschoud_Adrien;Wenger_Alexandre;2
1293;Dagen_Jean;Escola_Marc;2
1301;Jouhaud_Christian;Viala_Alain;2
2277;Dagen_Jean;François-Giappiconi_Catherine;2
2278;Dagen_Jean;Marchand_Sophie;2
5599;Rosset_François;Triaire_Dominique;2
2552;Moser-Verrey_Monique;van Strien-Chardonneau_Madeleine;2
1001;Mongenot_Christine;Plagnol-Diéval_Marie-Emmanuelle;2
1022;Hilaire-Pérez_Liliane;Virol_Michèle;2
1020;Blond_Stéphane;Hilaire-Pérez_Liliane;2
1010;Flamarion_Édith;Plagnol-Diéval_Marie-Emmanuelle;2
1009;Labarthe_Michèle Crogiez;Plagnol-Diéval_Marie-Emmanuelle;2
1006;Krief_Huguette;Plagnol-Diéval_Marie-Emmanuelle;2
948;Menant_Sylvain;Quéro_Dominique;2
3919;Barrovecchio_Anne-Sophie;Dagen_Jean;2
973;Traina_Giusto;Virol_Michèle;2
972;Janniard_Sylvain;Virol_Michèle;2
970;Couvenhes_Jean-Christophe;Virol_Michèle;2
967;Cosme_Pierre;Virol_Michèle;2
962;Bouchet_Julien;Bourdin_Philippe;2
961;Bogani_Lisa;Bourdin_Philippe;2
960;Bouchet_Julien;Caron_Jean-Claude;2
959;Bogani_Lisa;Caron_Jean-Claude;2
1084;Bourquin_Laurent;Wrede_Martin;2
1083;Bourquin_Laurent;Figeac_Michel;2
3344;Bernard_Mathias;Bourdin_Philippe;2
3345;Bernard_Mathias;Caron_Jean-Claude;2
1114;Bourdin_Philippe;Chappey_Jean-Luc;2
1112;Niort_Jean-François;Serna_Pierre;2
1111;Régent_Frédéric;Serna_Pierre;2
1107;Mondot_Jean;Verger_Jacques;2
1105;Cadilhon_François;Mondot_Jean;2
2550;Cossy_Valérie;Moser-Verrey_Monique;2
1082;Bourquin_Laurent;Chaline_Olivier;2
1054;Cénat_Jean-Philippe;Fonck_Bertrand;2
1052;Drévillon_Hervé;Fonck_Bertrand;2
1029;Mostefai_Ourida;Westmoreland_Peter;2
1027;Mostefai_Ourida;Weltman-Aron_Brigitte;2
1077;Didier_Béatrice;Hua_Meng;2
2024;Duranton_Henri;Labrosse_Claude;2
2025;Labrosse_Claude;Rétat_Pierre;2
2035;Keilhauer_Annette;Lüsebrink_Hans-Jürgen;2
2036;Lüsebrink_Hans-Jürgen;Nohr_René;2
1742;Louvat-Molozay_Bénédicte;Salaün_Franck;2
2068;Donato_Clorinda;Häseler_Jens;2
2064;Candaux_Jean-Daniel;Donato_Clorinda;2
2065;Candaux_Jean-Daniel;Häseler_Jens;2
2066;Cernuschi_Alain;Donato_Clorinda;2
2067;Cernuschi_Alain;Häseler_Jens;2
1638;Larrère_Catherine;Mondot_Jean;2
2055;Delon_Michel;Mondot_Jean;2
2047;Greilich_Susanne;Mollier_Jean-Yves;2
1991;Biard_Michel;Tourret_Alain;2
1946;Grell_Chantal;Volpilhac-Auger_Catherine;2
1992;Bourdin_Philippe;Tourret_Alain;2
1779;Létoublon_Françoise;Volpilhac-Auger_Catherine;2
1795;McKenna_Antony;Mothu_Alain;2
1993;Leuwers_Hervé;Tourret_Alain;2
4359;Fleming_Patricia Lockhart;Lamonde_Yvan;2
4358;Fleming_Patricia Lockhart;Gallichan_Gilles;2
2928;Bartolotti_Fabien;Daumalin_Xavier;2
2929;Bartolotti_Fabien;Raveux_Olivier;2
2931;Buti_Gilbert;Raveux_Olivier;2
1602;Belleguic_Thierry;Tatin-Gourier_Jean-Jacques;2
3214;Boillet_Danielle;Fragonard_Marie-Madeleine;2
1408;Jaquier_Claire;Seth_Catriona;2
1409;Lotterie_Florence;Seth_Catriona;2
3218;Fragonard_Marie-Madeleine;Tropé_Hélène;2
1342;Chaageat_Martine;Soula_Mathieu;2
1341;Chaageat_Martine;Ribémont_Bernard;2
